date, pm10, o3, no2
2018/2/22, 39, 23, 30
2018/2/23, 32, 24, 22
2018/2/24, 36, 29, 19
2018/2/25, 22, 28, 18
2018/2/26, 19, 26, 22
2018/2/27, 27, 25, 32
2018/2/28, 36, 26, 24
2018/3/1, 44, 24, 24
2018/3/2, 39, 24, 25
2018/3/3, 54, 27, 27
2018/3/4, 54, 30, 27
2018/3/5, 58, 19, 43
2018/3/6, 64, 22, 39
2018/3/7, 62, 16, 39
2018/3/8, 53, 18, 36
2018/3/9, 77, 22, 33
2018/3/10, 43, 6, 35
2018/3/11, 38, 24, 31
2018/3/12, 31, 16, 37
2018/3/13, 42, 18, 24
2018/3/14, 34, 15, 24
2018/3/15, 26, 22, 22
2018/3/16, 32, 25, 15
2018/3/17, 28, 29, 11
2018/3/18, 25, 32, 12
2018/3/19, 23, 31, 26
2018/3/20, 29, 23, 36
2018/3/21, 31, 23, 36
2018/3/22, 27, 17, 29
2018/3/23, 33, 18, 32
2018/3/24, 27, 22, 30
2018/3/25, 35, 34, 33
2018/3/26, 49, 23, 38
2018/3/27, 44, 26, 32
2018/3/28, 28, 20, 28
2018/3/29, 38, 24, 28
2018/3/30, 27, 32, 24
2018/3/31, 28, 25, 22
2018/4/1, 33, 24, 15
2017/10/2, 30, 11, 23
2017/10/3, 20, 17, 16
2017/10/4, 18, 17, 22
2017/10/5, 24, 20, 20
2017/10/6, 15, 19, 27
2017/10/7, 13, 19, 19
2017/10/8, 15, 24, 17
2017/10/9, 11, 15, 31
2017/10/10, 15, 7, 28
2017/10/11, 23, 12, 22
2017/10/12, 23, 18, 22
2017/10/13, 17, 15, 30
2017/10/14, 26, 7, 23
2017/10/15, 32, 18, 28
2017/10/16, 34, 17, 38
2017/10/17, 65, 15, 40
2017/10/18, 56, 7, 37
2017/10/19, 56, 3, 29
2017/10/20, 52, 3, 32
2017/10/21, 47, 6, 27
2017/10/22, 25, 19, 18
2017/10/23, 17, 8, 32
2017/10/24, 25, 7, 32
2017/10/25, 30, 12, 23
2017/10/26, 19, 14, 30
2017/10/27, 23, 16, 24
2017/10/28, 15, 19, 16
2017/10/29, 14, 26, 13
2017/10/30, 10, 21, 26
2017/10/31, 15, 16, 19
2017/11/1, 16, 7, 24
