date, pm25, pm10, o3, no2, so2, co
2016/1/25, 67, 33, 8, 36, 10, 
2016/1/26, 82, 40, 8, 31, 9, 
2016/1/27, 99, 52, 5, 30, 8, 
2016/1/28, 118, 33, 19, 30, 7, 
2016/1/29, 85, 16, 17, 30, 9, 
2016/1/30, 49, 18, 24, 26, 7, 
2016/1/31, 54, 20, 27, 29, 7, 
2016/2/1, 56, 38, 8, 40, 9, 
2016/2/2, 85, 41, 6, 38, 9, 
2016/2/3, 96, 19, 29, 26, 8, 
2016/2/4, 51, 12, 27, 28, 9, 
2016/2/5, 33, 22, 16, 34, 9, 
2016/2/6, 53, 36, 18, 29, 8, 
2016/2/7, 81, 11, 32, 18, 8, 
2016/2/8, 29, 15, 23, 21, 6, 
2016/2/9, 35, 10, 24, 16, 5, 
2016/2/10, 26, 11, 25, 18, 7, 
2016/2/11, 27, 11, 29, 21, 7, 
2016/2/12, 28, 10, 24, 17, 7, 
2016/2/13, 31, 7, 16, 12, 7, 
2016/2/14, 23, 8, 34, 15, 7, 
2016/2/15, 20, 8, 34, 18, 8, 
2016/2/16, 20, 8, 32, 21, 10, 
2016/2/17, 22, 19, 28, 32, 8, 
2016/2/18, 47, 13, 27, 25, 8, 
2016/2/19, 39, 11, 29, 25, 10, 
2016/2/20, 32, 14, 30, 32, 11, 
2016/2/21, 41, 50, 29, 28, 10, 
2016/2/22, 84, 160, 28, 36, 10, 
2016/2/23, 159, 51, 30, 36, 9, 
2016/2/24, 68, 38, 22, 32, 7, 
2016/2/25, 68, 15, 33, 26, 7, 
2016/2/26, 38, 12, 23, 25, 6, 
2016/2/27, 37, 7, 33, 17, 5, 
2016/2/28, 22, 7, 32, 18, 8, 
2016/2/29, 22, 14, 36, 26, 10, 
2016/3/1, 37, 27, 29, 42, 9, 
2016/3/2, 59, 25, 32, 36, 9, 
2016/3/3, 54, 17, 37, 27, 8, 
2016/3/4, 40, 25, 28, 35, 7, 
2016/3/5, 59, 10, 34, 18, 4, 
2016/3/6, 28, 8, 34, 18, 5, 
2016/3/7, 25, 9, 34, 20, 10, 
2016/3/8, 27, 9, 35, 21, 9, 
2016/3/9, 24, 16, 34, 31, 8, 
2016/3/10, 40, 11, 35, 19, 9, 
2016/3/11, 25, 10, 36, 21, 9, 
2016/3/12, 28, 17, 32, 25, 8, 
2016/3/13, 50, 20, 39, 23, 8, 
2016/3/14, 57, 24, 41, 24, 8, 
2016/3/15, 64, 24, 35, 27, 8, 
2016/3/16, 61, 34, 41, 41, 9, 
2016/3/17, 73, 26, 34, 36, 8, 
2016/3/18, 62, 23, 36, 28, 7, 
2016/3/19, 57, 13, 30, 18, 6, 
2016/3/20, 43, 12, 30, 20, 7, 
2016/3/21, 41, 12, 30, 25, 8, 
2016/3/22, 40, 12, 33, 23, 7, 
2016/3/23, 37, 20, 36, 27, 8, 
2016/3/24, 57, 19, 36, 21, 6, 
2016/3/25, 58, 22, 37, 29, 8, 
2016/3/26, 60, 23, 22, 21, 6, 
2016/3/27, 63, 9, 34, 11, 5, 
2016/3/28, 24, 15, 26, 20, 6, 
2016/3/29, 34, 18, 33, 25, 6, 
2016/3/30, 41, 24, 41, 36, 6, 
2016/3/31, 54, 13, 34, 24, 8, 
2016/4/1, 31, 9, 38, 18, 8, 
2015/10/2, 60, 25, 39, 32, 5, 
2015/10/3, 52, 29, 35, 33, 5, 
2015/10/4, 60, 28, 25, 22, 2, 
2015/10/5, 60, 27, 27, 23, 4, 
2015/10/6, 57, 15, 27, 20, 3, 
2015/10/7, 36, 16, 28, 26, 4, 
2015/10/8, 42, 19, 32, 30, 4, 
2015/10/9, 47, 26, 30, 38, 5, 
2015/10/10, 62, 30, 35, 37, 5, 
2015/10/11, 70, 18, 23, 21, 3, 
2015/10/12, 51, 14, 25, 15, 3, 
2015/10/13, 39, 19, 15, 26, 5, 
2015/10/14, 54, 21, 18, 27, 5, 
2015/10/15, 59, 23, 26, 36, 5, 
2015/10/16, 57, 30, 28, 45, 7, 
2015/10/17, 66, 27, 29, 34, 5, 
2015/10/18, 68, 19, 19, 21, 3, 
2015/10/19, 55, 18, 26, 26, 4, 
2015/10/20, 51, 14, 35, 25, 5, 
2015/10/21, 38, 17, 28, 28, 6, 
2015/10/22, 46, 27, 25, 37, 7, 
2015/10/23, 60, 31, 14, 37, 7, 
2015/10/24, 65, 30, 24, 34, 7, 
2015/10/25, 70, 21, 36, 23, 5, 
2015/10/26, 56, 17, 28, 20, 6, 
2015/10/27, 51, 14, 38, 21, 5, 
2015/10/28, 43, 13, 39, 22, 5, 
2015/10/29, 35, 40, 32, 28, 4, 
2015/10/30, 65, 29, 23, 34, 7, 
2015/10/31, 78, 23, 34, 23, 5, 
2015/11/1, 59, 16, 43, 19, 5, 
2015/11/2, 46, 12, 36, 23, 5, 
2015/11/3, 38, 13, 31, 25, 5, 
2015/11/4, 35, 25, 16, 32, 4, 
2015/11/5, 61, 23, 31, 33, 4, 
2015/11/6, 57, 39, 14, 44, 8, 
2015/11/7, 87, 32, 20, 32, 7, 
2015/11/8, 80, 21, 32, 28, 8, 
2015/11/9, 58, 23, 25, 36, 8, 
2015/11/10, 59, 40, 11, 54, 10, 
2015/11/11, 87, 44, 9, 56, 10, 
2015/11/12, 91, 39, 17, 53, 9, 
2015/11/13, 84, 36, 14, 46, 9, 
2015/11/14, 78, 25, 23, 26, 6, 
2015/11/15, 60, 30, 17, 30, 7, 
2015/11/16, 78, 41, 16, 39, 8, 
2015/11/17, 98, 51, 7, 44, 8, 
2015/11/18, 115, 46, 7, 48, 9, 
2015/11/19, 100, 44, 8, 48, 8, 
2015/11/20, 90, 40, 20, 46, 9, 
2015/11/21, 89, 18, 37, 19, 7, 
2015/11/22, 40, 9, 35, 21, 6, 
2015/11/23, 26, 10, 33, 25, 8, 
2015/11/24, 25, 29, 18, 47, 8, 
2015/11/25, 68, 17, 37, 32, 7, 
2015/11/26, 42, 23, 38, 40, 9, 
2015/11/27, 49, 20, 32, 40, 9, 
2015/11/28, 47, 23, 28, 37, 9, 
2015/11/29, 58, 25, 16, 37, 9, 
2015/11/30, 65, 43, 14, 55, 13, 
2015/12/1, 91, 48, 8, 52, 10, 
2015/12/2, 86, 57, 5, 58, 12, 
2015/12/3, 115, 53, 11, 53, 10, 
2015/12/4, 107, 53, 5, 57, 11, 
2015/12/5, 115, 49, 11, 51, 11, 
2015/12/6, 101, 34, 14, 33, 9, 
2015/12/7, 79, 31, 8, 31, 9, 
2015/12/8, 77, 41, 9, 30, 9, 
2015/12/9, 98, 31, 14, 33, 9, 
2015/12/10, 73, 30, 14, 34, 9, 
2015/12/11, 74, 23, 19, 31, 8, 
2015/12/12, 59, 21, 22, 26, 6, 
2015/12/13, 54, 34, 14, 34, 8, 
2015/12/14, 79, 39, 18, 33, 7, 
2015/12/15, 77, 53, 15, 42, 8, 
2015/12/16, 96, 53, 5, 42, 10, 
2015/12/17, 101, 59, 5, 47, 11, 
2015/12/18, 107, 57, 5, 47, 11, 
2015/12/19, 109, 55, 8, 47, 10, 
2015/12/20, 112, 46, 12, 32, 8, 
2015/12/21, 86, 53, 7, 41, 9, 
2015/12/22, 102, 43, 8, 45, 9, 
2015/12/23, 91, 45, 7, 48, 10, 
2015/12/24, 96, 47, 5, 40, 9, 
2015/12/25, 110, 49, 12, 38, 10, 
2015/12/26, 118, 39, 13, 32, 9, 
2015/12/27, 97, 25, 21, 25, 8, 
2015/12/28, 66, 30, 20, 29, 7, 
2015/12/29, 61, 26, 25, 26, 6, 
2015/12/30, 59, 22, 26, 27, 6, 
2015/12/31, 49, , , , , 
2016/1/4, 34, 7, 20, 15, 5, 
2015/7/2, 64, 25, 44, 24, 5, 
2015/7/3, 49, 43, 43, 24, 6, 
2015/7/4, 65, 35, 47, 17, 5, 
2015/7/5, 59, 41, 49, 23, 5, 
2015/7/6, 67, 52, 43, 38, 5, 
2015/7/7, 77, 52, 43, 41, 5, 
2015/7/8, 75, 38, 50, 38, 5, 
2015/7/9, 66, 33, 66, 28, 4, 
2015/7/10, 53, 35, 55, 43, 5, 
2015/7/11, 65, 29, 81, 24, 3, 
2015/7/12, 57, 30, 68, 19, 4, 
2015/7/13, 58, 33, 92, 28, 5, 
2015/7/14, 59, 42, 83, 28, 3, 
2015/7/15, 63, 41, 93, 34, 5, 
2015/7/16, 67, 51, 63, 39, 3, 
2015/7/17, 76, 43, 66, 29, 5, 
2015/7/18, 68, 28, 53, 18, 4, 
2015/7/19, 50, 21, 37, 19, 5, 
2015/7/20, 53, 21, 50, 24, 3, 
2015/7/21, 44, 25, 39, 28, 3, 
2015/7/22, 54, 23, 38, 21, 3, 
2015/7/23, 51, 23, 43, 23, 4, 
2015/7/24, 51, 26, 39, 33, 5, 
2015/7/25, 59, 19, 57, 15, 4, 
2015/7/26, 46, 27, 51, 15, 4, 
2015/7/27, 56, 20, 40, 21, 4, 
2015/7/28, 47, 26, 44, 27, 4, 
2015/7/29, 51, 23, 40, 27, 5, 
2015/7/30, 47, 21, 34, 21, 5, 
2015/7/31, 46, 19, 28, 21, 5, 
2015/8/1, 42, 13, 64, 10, 5, 
2015/8/2, 34, 27, 55, 15, 5, 
2015/8/3, 53, 41, 45, 31, 5, 
2015/8/4, 64, 33, 51, 22, 5, 
2015/8/5, 58, 32, 48, 32, 5, 
2015/8/6, 62, 35, 47, 34, 5, 
